Year,CABLE-POP,CARDAMOM,CLASSIC,CLM-FATES,CLM6.0,DLEM,E3SM,EDv3,ELM-FATES,GDSTEM,IBIS,ISAM,JSBACH,JULES,LPJ-EOSIM,LPJ-GUESS,LPJmL,LPX-Bern,ORCHIDEE,VISIT-UT
1779,-0.269297677,,-0.418852291,-0.480123015,-0.831587923,0.503158272,0.015113169,-0.363546514,-0.484026107,0.385067529,-0.302566531,-0.838387591,0.627400469,-1.304977515,0.05214511,-1.500422223,0.89273923,-0.749064405,-0.494499334,-1.109011403
1780,1.487333798,,0.280083437,0.417274826,-0.097818112,-0.882322854,0.237206762,0.779125744,0.706741621,0.218616543,0.068490446,-0.165914285,0.015513727,0.326675648,0.511810264,-0.914490505,0.472361741,0.212322167,-0.019595473,0.345082593
1781,-0.76147666,,-1.385102409,0.401303154,-0.138675558,-1.20526581,0.082182452,0.10880512,-0.078718043,-1.2121931,-0.16272524,-0.479570844,-1.800274925,-0.570105686,-0.796421162,0.359981632,0.998186568,-0.597223469,-0.146064285,-0.290789718
1782,1.086197051,,2.803433014,0.148563672,-0.589627731,0.62860909,-0.767672217,0.903270514,-0.181221231,-0.355430779,-0.775566258,-0.862181347,0.588779003,-0.635883654,-0.054885391,-0.242728807,0.384495422,-1.446284962,-0.384687912,-1.710413303
1783,1.345026754,,0.799174598,0.094808218,0.205135448,0.91155924,0.160526549,0.221477033,0.161314506,0.403137647,0.65812591,0.265572522,1.04229349,0.352340607,-0.012103923,1.618697645,0.614044522,-0.070089851,0.511947504,0.205872564
1784,-1.52225424,,-0.445738049,0.483530428,0.412905525,-1.35096762,0.58498811,-0.588435529,-0.112917274,-0.366514452,0.703292446,0.690622398,-1.778665449,0.525604842,-0.110135845,0.702288009,-0.534679722,0.777450275,0.06930434,1.236924572
1785,-0.646307668,,1.037839634,-0.222916965,-0.730298079,0.633463382,-0.424383218,-0.354057936,-0.328124483,0.166195254,-0.505047388,-0.874291827,-0.865072447,-1.158205647,0.530246383,0.094743477,-1.929443098,-0.244509494,-0.628089431,-0.635429668
1786,0.332995705,,0.16777835,0.198024643,0.433031409,0.492334768,-0.175094235,0.115203507,-0.227477783,0.141156911,0.051001788,0.339650727,1.141641773,0.832591762,0.771474317,0.117322316,1.279478255,0.668028762,0.421429321,1.092304291
1787,-0.303655045,,-0.053081075,0.439712262,-0.143551349,0.147613947,0.118233568,-0.356170313,0.111857071,-0.068155127,-0.408802962,0.066225099,-1.110620034,0.39104107,1.46816697,1.126891,-1.468998499,0.643427496,-0.05363401,0.462289204
1788,-0.069266952,,1.772217153,0.324919049,0.090625066,0.044751043,-0.013498678,0.015793914,0.242784907,0.160045544,0.174610683,0.170666286,-0.697683496,0.148826181,0.181132202,-0.550769895,-0.451439703,0.659446992,-0.328017986,0.221972695
1789,0.403005959,,1.908609575,0.523004598,-0.01998207,0.424896078,0.061373524,-0.012019515,-0.169697191,-0.163321977,0.062545407,0.110518871,-0.139887311,0.030951653,0.084459716,-0.029737234,-1.025391466,0.614517735,0.353048762,0.507741951
1790,0.501733212,,-1.785270071,0.058687174,0.575222869,-0.306464174,0.542936566,0.172821392,-0.070341217,0.510386877,0.342792031,0.354994723,1.06518886,0.636887652,0.558826211,0.515526926,0.303907141,0.839445725,-0.101220147,0.824270111
